Subfamily;Tribe;Genus;Epithet;Binominal_name;Abundance;Area;Stratum;Mean_red_reflectance;SD_red_reflectance;Mean_green_reflectance;SD_green_reflectance;Mean_blue_reflectance;SD_blue_reflectance;Proportion_red;Proportion_green;Proportion_blue;X_coord;Y_coord;Euclidian_distance;Mean_luminance;Complexity_index;Mean_contrast;Iridescence_presence;Proportion_Iridescence;Eyespot_presence;Proportion_eyespot;Mean_eyespotarea;Shannon_cd;Shannon_tr
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D5;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D4;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D5;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D2;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D5;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D2;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;D5;Dossel;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN2;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN2;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B3;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B2;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B2;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B3;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B3;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B3;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B2;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B3;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN1;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN1;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN1;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN2;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B2;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B3;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN5;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B6;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B5;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B1;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;MN5;Sub_bosque;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
Charaxinae;Preponini;Archaeoprepona;amphimachus;Archaeoprepona_amphimachus;1;B4;Borda;7.852445021;3.960687349;7.282315119;5.121657691;7.060033369;5.778530304;0.353796714;0.328109163;0.318094123;0.018163842;-0.018664145;0.026043722;0.072050352;0.728664182;0.083867913;1;0.126916974;0;0;0;2.023689454;2.513798234
